model,f1_at_default_0.5,max_f1_via_threshold,best_threshold,precision_at_best,recall_at_best,average_precision_pr_auc
xgboost,0.31196652719665274,0.3531434184671102,0.64697265625,0.28679696848823294,0.4594249201277955,0.28074397070112456
random_forest,0.2675213675213675,0.33937823834148684,0.32,0.28540305010893247,0.4185303514376997,0.2611430187699003
logistic_regression,0.20080242685194247,0.2239057239053358,0.5766416662447523,0.152,0.4249201277955272,0.14870684597732295
