model,precision,recall,f1,training_time_s
xgboost,0.2113378684807256,0.5955271565495208,0.31196652719665274,3.0953199000068707
random_forest,0.41127922971114167,0.19105431309904153,0.26090750436300175,3.7170604999992065
logistic_regression,0.11855789230413681,0.655591054313099,0.20080242685194247,31.861822000006214
