model,f1_at_default_0.5,max_f1_via_threshold,best_threshold,precision_at_best,recall_at_best,average_precision_pr_auc
xgboost,0.3170194750211685,0.3509949652356856,0.6372621655464172,0.28089025326170375,0.46773162939297125,0.28548968437859185
random_forest,0.25686448184233834,0.33506493506445256,0.32,0.28227571115973743,0.41214057507987223,0.27157041619183325
logistic_regression,0.20660110992113717,0.23400601116314335,0.6163244585658041,0.17620433236340122,0.34824281150159747,0.15636635809877727
