model,feature,importance,rank
xgboost,payment_total_value,0.010440547950565815,34
xgboost,items_total_weight_g,0.010385215282440186,35
xgboost,items_total_price,0.010057990439236164,36
xgboost,payment_value_voucher,0.009867344051599503,37
xgboost,customer_state_GO,0.009842369705438614,38
xgboost,items_num_categories,0.009784494526684284,39
xgboost,customer_state_SC,0.009759015403687954,40
xgboost,items_num_products,0.009468790143728256,41
xgboost,primary_seller_state_PR,0.009451952762901783,42
xgboost,customer_state_PB,0.009318340569734573,43
xgboost,payment_num_types,0.00902455486357212,44
xgboost,payment_value_boleto,0.008809235878288746,45
xgboost,customer_state_RO,0.008782453835010529,46
xgboost,payment_max_installments,0.008475052192807198,47
xgboost,primary_seller_state_GO,0.008246351964771748,48
xgboost,customer_state_PI,0.008173473179340363,49
xgboost,payment_value_debit_card,0.008163961581885815,50
xgboost,payment_num_rows,0.007769477088004351,51
xgboost,customer_state_TO,0.007607132662087679,52
xgboost,customer_state_RN,0.007565306033939123,53
xgboost,customer_state_MA,0.0071129282005131245,54
xgboost,customer_state_AM,0.006925752852112055,55
xgboost,customer_state_SE,0.006271834019571543,56
xgboost,primary_seller_state_MT,0.006249291356652975,57
xgboost,primary_seller_state_ES,0.005791705101728439,58
xgboost,primary_seller_state_RN,0.004970221314579248,59
xgboost,primary_seller_state_CE,0.00488986587151885,60
xgboost,primary_seller_state_MS,0.0035315509885549545,61
xgboost,customer_state_AP,0.003506960580125451,62
xgboost,primary_seller_state_PB,0.003159542800858617,63
xgboost,primary_seller_state_AM,0.0030030477792024612,64
xgboost,customer_state_AC,0.0027345081325620413,65
xgboost,primary_seller_state_PI,0.0017736126901581883,66
xgboost,payment_has_debit_card,0.0,67
xgboost,items_multi_seller,0.0,68
xgboost,payment_has_voucher,0.0,69
xgboost,payment_has_not_defined,0.0,70
xgboost,payment_has_boleto,0.0,71
xgboost,payment_value_not_defined,0.0,72
xgboost,primary_seller_state_AC,0.0,73
xgboost,primary_seller_state_PA,0.0,74
xgboost,primary_seller_state_RO,0.0,75
xgboost,primary_seller_state_SE,0.0,76
