model,feature,importance,rank
xgboost,payment_total_value,0.01021796278655529,36
xgboost,items_total_weight_g,0.01015470176935196,37
xgboost,payment_value_credit_card,0.010075684636831284,38
xgboost,payment_value_boleto,0.009525715373456478,39
xgboost,customer_state_RN,0.009365135803818703,40
xgboost,items_total_price,0.009166445583105087,41
xgboost,items_num_products,0.00877437274903059,42
xgboost,customer_state_RR,0.008649568073451519,43
xgboost,payment_value_debit_card,0.00859627965837717,44
xgboost,payment_value_voucher,0.008534694090485573,45
xgboost,primary_seller_state_BA,0.008266529068350792,46
xgboost,primary_seller_state_CE,0.008168550208210945,47
xgboost,primary_seller_state_PE,0.007874934002757072,48
xgboost,primary_seller_state_DF,0.007788911461830139,49
xgboost,primary_seller_state_ES,0.007625225931406021,50
xgboost,customer_state_RO,0.007599711883813143,51
xgboost,payment_max_installments,0.007548938971012831,52
xgboost,payment_num_rows,0.0073636481538414955,53
xgboost,primary_seller_state_GO,0.007281686645001173,54
xgboost,customer_state_MT,0.006655911449342966,55
xgboost,primary_seller_state_MS,0.006584028713405132,56
xgboost,customer_state_TO,0.005855861119925976,57
xgboost,primary_seller_state_AM,0.005837490316480398,58
xgboost,customer_state_AM,0.0037774047814309597,59
xgboost,primary_seller_state_MT,0.00334157794713974,60
xgboost,primary_seller_state_RN,0.003293978748843074,61
xgboost,primary_seller_state_PB,0.0024884864687919617,62
xgboost,customer_state_AC,0.0022145695984363556,63
xgboost,primary_seller_state_PI,0.0021277074702084064,64
xgboost,items_multi_seller,0.0,65
xgboost,payment_has_voucher,0.0,66
xgboost,payment_has_debit_card,0.0,67
xgboost,payment_has_not_defined,0.0,68
xgboost,payment_value_not_defined,0.0,69
xgboost,payment_has_boleto,0.0,70
xgboost,payment_has_credit_card,0.0,71
xgboost,primary_seller_state_AC,0.0,72
xgboost,primary_seller_state_PA,0.0,73
xgboost,primary_seller_state_RO,0.0,74
xgboost,primary_seller_state_SE,0.0,75
